__v,_id,answers,approved,displayedCounter,language,location,question,rightAnswer,schemaVersion,statistic,updatedAt
0,626ffee5b6d782d01c1ff764,"[""קריית שלום"",""כרם התימנים"",""יד אליהו"",""כפר שלם""]",true,0,hebrew,626421557089c1bf06a8dacd,איזו שכונה הייתה מזוהה היסטורית עם מועדון הכדורגל שמשון תל אביב?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,626fff03b6d782d01c1ff76d,"[""סי היימן"",""אסתר שמיר"",""שרון ליפשיץ"",""נורית גלרון""]",true,0,hebrew,626421557089c1bf06a8dacd,מי שרה על המקום הכי נמוך בתל אביב?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,626fff2ab6d782d01c1ff776,"[""רונית שחר"",""אלונה דניאל"",""ענבל פרלמוטר"",""קורין אלאל""]",true,0,hebrew,626421557089c1bf06a8dacd,מי שרה על גגות תל אביב?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,626fff4db6d782d01c1ff77f,"[""הנסיך הקטן"",""קדמת עדן"",""לוטוס"",""הלפר ספרים""]",true,0,hebrew,626421557089c1bf06a8dacd,איזו מחנויות הספרים הבאות לא נמצאת באלנבי?,0,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,626fff66b6d782d01c1ff788,"[""אפרודיטה"",""אוויטה"",""מינרווה"",""קארפה דיאם""]",true,0,hebrew,626421557089c1bf06a8dacd,מה שם הבר המיתולוגי ששכן בסמטת בית השואבה עד קיץ 2008?,2,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,626fff9db6d782d01c1ff791,"[""קפה רוול"",""קפה כסית"",""קפה עטרה"",""קפה בתיה""]",true,0,hebrew,626421557089c1bf06a8dacd,איזה מבתי הקפה המיתולוגיים הבאים לא שכן ברחוב דיזנגוף?,2,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,626fffe4b6d782d01c1ff79a,"[""במערב"",""בצפון"",""במזרח"",""בדרום""]",true,0,hebrew,6264219b7089c1bf06a8dad1,איפה אילת נמצאת?,3,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,62700028b6d782d01c1ff7a3,"[""בום בום רק"",""אום אל רשרש"",""טמו בו לילי"",""רוב הברבור""]",true,0,hebrew,6264219b7089c1bf06a8dad1,איך קוראים למושב ששכן בעבר במקום שבו אילת נמצאת?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,62700053b6d782d01c1ff7ac,"[""1789"",""2002"",""1952"",""1995""]",true,0,hebrew,6264219b7089c1bf06a8dad1,באיזה שנה אילת נוסדה כישוב אזרחי?,2,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,6270007ab6d782d01c1ff7b5,"[""מצרים"",""ארצות הברית"",""אנגליה"",""ירדן""]",true,0,hebrew,6264219b7089c1bf06a8dad1,אילת קרובה ל ?,0,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,627000ddb6d782d01c1ff7be,"[""נווה דוד"",""קריית אליעזר"",""כרמל"",""נווה שאנן""]",true,1,hebrew,626420dd7089c1bf06a8dac2,איזה שכונה גרנד קניון ?,3,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":1},{""answer"":3,""counter"":0}]",2022-05-12T06:17:40.050Z
0,6270010eb6d782d01c1ff7c7,"[""5,012"",""600,000"",""240,000"",""672""]",true,1,hebrew,626420dd7089c1bf06a8dac2,כמה תושבים יש בחיפה,2,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":1}]",2022-05-12T06:17:40.056Z
0,62700141b6d782d01c1ff7d0,"[""הדר"",""בת גלים"",""נווה שאנן"",""אחוזה""]",true,1,hebrew,626420dd7089c1bf06a8dac2,באיזו שכונה בית חולים רמבם ?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":1},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",2022-05-12T06:17:40.058Z
0,6270016eb6d782d01c1ff7d9,"[""חיפה"",""באר שבע"",""חדרה"",""נתניה""]",true,0,hebrew,626420dd7089c1bf06a8dac2,איזו עיר הכי גדולה ?,0,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,627001c1b6d782d01c1ff7e2,"[""נתניה"",""נתניה"",""חיפה"",""נוף הגליל""]",true,1,hebrew,626420dd7089c1bf06a8dac2,איזו עיר הכי גדולה ?,2,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":1},{""answer"":3,""counter"":0}]",2022-05-12T06:17:40.059Z
0,62700224b6d782d01c1ff7eb,"[""הקלטית"",""הדרוזית"",""הסינטולוגית"",""הבהאית""]",true,1,hebrew,626420dd7089c1bf06a8dac2,חיפה היא מרכז האמונה העולמי,3,1,"[{""answer"":0,""counter"":1},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",2022-05-12T06:17:40.057Z
0,62700253b6d782d01c1ff7f4,"[""חולון"",""ירושליים"",""חיפה"",""תל אביב""]",true,0,hebrew,626421c77089c1bf06a8dad5,איזו עיר הכי גדולה ?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,6270027fb6d782d01c1ff7fd,"[""1917"",""1948"",""1964"",""1867""]",true,0,hebrew,626421c77089c1bf06a8dad5,באיזו שנה עברה ירושלים לידע שלטון המנדא הבריטי ?,0,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,627002b9b6d782d01c1ff806,"[""אום רשרש"",""אל אקצה"",""אל חייבה"",""אל קדס""]",true,0,hebrew,626421c77089c1bf06a8dad5,מה שמה של ירושלים בערבית ?,3,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,627002e0b6d782d01c1ff80f,"[""האריות"",""הציפורים"",""האשפות"",""הרחמים""]",true,0,hebrew,626421c77089c1bf06a8dad5,איזה שער לא קיים בירושלים ?,1,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,6270031eb6d782d01c1ff818,"[""תליות"",""מאה שערים"",""ארנונה"",""שכנות שאננים""]",true,0,hebrew,626421c77089c1bf06a8dad5,כיצד נקראה השכונה הראשוניה שנבנתה מחוץ לחומות ירושלים במאה ה 19 ?,3,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
0,62700357b6d782d01c1ff821,"[""מלחמת ששת הימים"",""מלחמת סיני"",""מלחמת העצמאות"",""מלחמת ההתשה""]",true,0,hebrew,626421c77089c1bf06a8dad5,אחרי איזו מלחמה אוחדה ירושלים ?,0,1,"[{""answer"":0,""counter"":0},{""answer"":1,""counter"":0},{""answer"":2,""counter"":0},{""answer"":3,""counter"":0}]",
